001;Der Schüler brachte durchgängig hervorragende Unterrichtsbeiträge.;Die Schülerin brachte durchgängig hervorragende Unterrichtsbeiträge.                                                                                                                                              
002;Der Schüler brachte hervorragende Unterrichtsbeiträge.;Die Schülerin brachte hervorragende Unterrichtsbeiträge.                                                                                                                                                          
003;Der Schüler erledigte seine schulischen Aufgaben mit großem Fleiß.;Die Schülerin erledigte ihre schulischen Aufgaben mit großem Fleiß.                                                                                                                                               
004;Der Schüler arbeitete mit Interesse und großem Fleiß.;Die Schülerin arbeitete mit Interesse und großem Fleiß.                                                                                                                                                           
005;Der Schüler hat stets fleißig mitgearbeitet.;Die Schülerin hat stets fleißig mitgearbeitet.                                                                                                                                                                    
006;Der Schüler hat fleißig mitgearbeitet.;Die Schülerin hat fleißig mitgearbeitet.                                                                                                                                                                          
007;Der Schüler beteiligte sich lebhaft am Unterricht.;Die Schülerin beteiligte sich lebhaft am Unterricht.                                                                                                                                                              
008;Der Schüler arbeitete interessiert mit.;Die Schülerin arbeitete interessiert mit.                                                                                                                                                                         
009;Der Schüler hat zuverlässig mitgearbeitet.;Die Schülerin hat zuverlässig mitgearbeitet.                                                                                                                                                                      
010;Der Schüler erfüllte seine Pflichten zuverlässig.;Die Schülerin erfüllte ihre Pflichten zuverlässig.                                                                                                                                                                
011;Der Schüler hat mitgearbeitet.;Die Schülerin hat mitgearbeitet.                                                                                                                                                                                  
012;Der Schüler beteiligte sich im Allgemeinen am Unterricht.;Die Schülerin beteiligte sich im Allgemeinen am Unterricht.                                                                                                                                                       
013;Der Schüler folgte dem Unterricht aufmerksam.;Die Schülerin folgte dem Unterricht aufmerksam.                                                                                                                                                                   
014;Der Schüler sollte sich stärker am Unterricht beteiligen.;Die Schülerin sollte sich stärker am Unterricht beteiligen.                                                                                                                                                       
015;Der Schüler war unaufmerksam.;Die Schülerin war unaufmerksam.                                                                                                                                                                                   
016;Der Schüler arbeitete selten mit.;Die Schülerin arbeitete selten mit.                                                                                                                                                                               
017;Der Schüler arbeitete kaum mit.;Die Schülerin arbeitete kaum mit.                                                                                                                                                                                 
018;Der Schüler arbeitete nicht mit.;Die Schülerin arbeitete nicht mit.                                                                                                                                                                                
019;Der Schüler verweigerte die Mitarbeit.;Die Schülerin verweigerte die Mitarbeit.                                                                                                                                                                                                                                                                                                                                                                                         
020;Der leistungsstarke Schüler brachte durchgängig hervorragende Unterrichtsbeiträge.;Die leistungsstarke Schülerin brachte durchgängig hervorragende Unterrichtsbeiträge.                                                                                                                              
021;Der leistungsstarke Schüler brachte hervorragende Unterrichtsbeiträge.;Die leistungsstarke Schülerin brachte hervorragende Unterrichtsbeiträge.                                                                                                                                          
022;Der leistungsstarke Schüler erledigte seine schulischen Aufgaben mit großem Fleiß. ;Die leistungsstarke Schülerin erledigte ihre schulischen Aufgaben mit großem Fleiß.                                                                                                                               
023;Der leistungsstarke Schüler arbeitete mit Interesse und großem Fleiß.;Die leistungsstarke Schülerin arbeitete mit Interesse und großem Fleiß.                                                                                                                                           
024;Der leistungsstarke Schüler hat stets fleißig mitgearbeitet.;Die leistungsstarke Schülerin hat stets fleißig mitgearbeitet.                                                                                                                                                    
025;Der leistungsstarke Schüler hat fleißig mitgearbeitet.;Die leistungsstarke Schülerin hat fleißig mitgearbeitet.                                                                                                                                                          
026;Der leistungsstarke Schüler beteiligte sich lebhaft am Unterricht.;Die leistungsstarke Schülerin beteiligte sich lebhaft am Unterricht.                                                                                                                                              
027;Der leistungsstarke Schüler arbeitete interessiert mit.;Die leistungsstarke Schülerin arbeitete interessiert mit.                                                                                                                                                         
028;Der leistungsstarke Schüler hat zuverlässig mitgearbeitet.;Die leistungsstarke Schülerin hat zuverlässig mitgearbeitet.                                                                                                                                                      
029;Der leistungsstarke Schüler erfüllte seine Pflichten zuverlässig.;Die leistungsstarke Schülerin erfüllte ihre Pflichten zuverlässig.                                                                                                                                                
030;Der leistungsstarke Schüler hat mitgearbeitet.;Die leistungsstarke Schülerin hat mitgearbeitet.                                                                                                                                                                  
031;Der leistungsstarke Schüler beteiligte sich im Allgemeinen am Unterricht.;Die leistungsstarke Schülerin beteiligte sich im Allgemeinen am Unterricht.                                                                                                                                       
032;Der leistungsstarke Schüler folgte dem Unterricht aufmerksam.;Die leistungsstarke Schülerin folgte dem Unterricht aufmerksam.                                                                                                                                                   
033;Der leistungsstarke Schüler sollte sich stärker am Unterricht beteiligen.;Die leistungsstarke Schülerin sollte sich stärker am Unterricht beteiligen.                                                                                                                                       
034;Der leistungsstarke Schüler war unaufmerksam.;Die leistungsstarke Schülerin war unaufmerksam.                                                                                                                                                                   
